Archetype,Day,DayName,PH,MH,Language,Etiquette,Theory,Practice,AvgGuanxi,MaxLoneliness,RumorLevel,IsBurnedOut
Balanced,1,Senin,100,80,20,15,33,51,19.00,10,0,0
Balanced,2,Selasa,100,80,20,15,36,62,18.00,20,0,0
Balanced,3,Rabu,100,80,20,15,39,73,17.00,30,0,0
Balanced,4,Kamis,100,80,20,15,42,84,16.00,30,0,0
Balanced,5,Jumat,100,80,20,15,45,95,15.00,30,0,0
Balanced,6,Sabtu,100,75,20,15,53,100,14.00,30,0,0
Balanced,7,Minggu,100,70,20,15,61,100,13.00,40,0,0
Balanced,8,Senin,100,70,20,15,64,100,12.00,40,0,0
Balanced,9,Selasa,100,70,20,15,67,100,11.00,40,0,0
Balanced,10,Rabu,100,70,20,15,70,100,10.00,40,0,0
Balanced,11,Kamis,100,70,20,15,73,100,9.00,50,0,0
Balanced,12,Jumat,100,70,20,15,76,100,8.00,50,0,0
Balanced,13,Sabtu,100,85,20,15,76,100,10.00,50,0,0
Balanced,14,Minggu,100,100,20,15,76,100,12.00,50,0,0
Balanced,15,Senin,100,100,20,15,79,100,11.00,60,0,0
Balanced,16,Selasa,100,100,20,15,82,100,10.00,40,0,0
Balanced,17,Rabu,100,100,20,15,85,100,9.00,50,0,0
Balanced,18,Kamis,100,100,20,15,88,100,8.00,60,0,0
Balanced,19,Jumat,100,100,20,15,91,100,7.50,70,0,0
Balanced,20,Sabtu,100,100,20,15,91,100,9.50,50,0,0
Balanced,21,Minggu,100,100,20,15,91,100,12.00,40,0,0
Balanced,22,Senin,100,100,20,15,94,100,11.00,40,0,0
Balanced,23,Selasa,100,100,20,15,97,100,10.00,50,0,0
Balanced,24,Rabu,100,100,20,15,100,100,9.00,50,0,0
Balanced,25,Kamis,100,100,20,15,100,100,8.00,50,0,0
Balanced,26,Jumat,100,100,20,15,100,100,7.00,50,0,0
Balanced,27,Sabtu,100,100,20,15,100,100,9.50,50,0,0
Balanced,28,Minggu,100,100,20,15,100,100,12.00,50,0,0
Balanced,29,Senin,100,100,20,15,100,100,11.00,60,0,0
Balanced,30,Selasa,100,100,20,15,100,100,10.00,50,0,0
Balanced,31,Rabu,100,100,20,15,100,100,9.00,50,0,0
Balanced,32,Kamis,100,100,20,15,100,100,8.00,60,0,0
Balanced,33,Jumat,100,100,20,15,100,100,7.50,70,0,0
Balanced,34,Sabtu,100,100,20,15,100,100,10.00,60,0,0
Balanced,35,Minggu,100,100,20,15,100,100,12.00,40,0,0
Balanced,36,Senin,100,100,20,15,100,100,11.00,40,0,0
Balanced,37,Selasa,100,100,20,15,100,100,10.00,50,0,0
Balanced,38,Rabu,100,100,20,15,100,100,9.00,40,0,0
Balanced,39,Kamis,100,100,20,15,100,100,8.00,50,0,0
Balanced,40,Jumat,100,100,20,15,100,100,7.00,50,0,0
Balanced,41,Sabtu,100,100,20,15,100,100,9.00,60,0,0
Balanced,42,Minggu,100,100,20,15,100,100,11.00,50,0,0
Balanced,43,Senin,100,100,20,15,100,100,10.00,60,0,0
Balanced,44,Selasa,100,100,20,15,100,100,9.00,40,0,0
Balanced,45,Rabu,100,100,20,15,100,100,8.00,50,0,0
Balanced,46,Kamis,100,100,20,15,100,100,7.00,60,0,0
Balanced,47,Jumat,100,100,20,15,100,100,6.50,70,0,0
Balanced,48,Sabtu,100,100,20,15,100,100,8.50,50,0,0
Balanced,49,Minggu,100,100,20,15,100,100,11.00,50,0,0
Balanced,50,Senin,100,100,20,15,100,100,10.00,40,0,0
Balanced,51,Selasa,100,100,20,15,100,100,9.00,50,0,0
Balanced,52,Rabu,100,100,20,15,100,100,8.00,50,0,0
Balanced,53,Kamis,100,100,20,15,100,100,7.00,60,0,0
Balanced,54,Jumat,100,100,20,15,100,100,6.00,50,0,0
Balanced,55,Sabtu,100,100,20,15,100,100,8.50,50,0,0
Balanced,56,Minggu,100,100,20,15,100,100,11.00,60,0,0
Balanced,57,Senin,100,100,20,15,100,100,10.00,70,0,0
Balanced,58,Selasa,100,100,20,15,100,100,9.00,50,0,0
Balanced,59,Rabu,100,100,20,15,100,100,8.00,60,0,0
Balanced,60,Kamis,100,100,20,15,100,100,7.50,70,0,0
