Archetype,Day,DayName,PH,MH,Language,Etiquette,Theory,Practice,AvgGuanxi,MaxLoneliness,RumorLevel,IsBurnedOut
SocialHeavy,1,Senin,100,85,20,15,33,43,20.00,10,0,0
SocialHeavy,2,Selasa,100,90,20,15,36,46,20.50,20,0,0
SocialHeavy,3,Rabu,100,95,20,15,39,49,21.00,10,0,0
SocialHeavy,4,Kamis,100,100,20,15,42,52,21.50,15,0,0
SocialHeavy,5,Jumat,100,100,20,15,45,55,22.00,10,0,0
SocialHeavy,6,Sabtu,95,100,20,15,45,55,26.00,10,0,0
SocialHeavy,7,Minggu,90,100,20,15,45,55,29.50,10,0,0
SocialHeavy,8,Senin,90,100,20,15,48,58,30.00,10,0,0
SocialHeavy,9,Selasa,90,100,20,15,51,61,30.50,10,0,0
SocialHeavy,10,Rabu,90,100,20,15,54,64,31.00,10,0,0
SocialHeavy,11,Kamis,90,100,20,15,57,67,31.50,10,0,0
SocialHeavy,12,Jumat,90,100,20,15,60,70,32.00,10,0,0
SocialHeavy,13,Sabtu,85,100,20,15,60,70,35.50,10,0,0
SocialHeavy,14,Minggu,80,100,20,15,60,70,39.50,10,0,0
SocialHeavy,15,Senin,80,100,20,15,63,73,40.00,10,0,0
SocialHeavy,16,Selasa,80,100,20,15,66,76,40.50,10,0,0
SocialHeavy,17,Rabu,80,100,20,15,69,79,41.00,10,0,0
SocialHeavy,18,Kamis,80,100,20,15,72,82,41.50,10,0,0
SocialHeavy,19,Jumat,80,100,20,15,75,85,42.00,10,0,0
SocialHeavy,20,Sabtu,75,100,20,15,75,85,46.00,10,0,0
SocialHeavy,21,Minggu,70,100,20,15,75,85,49.50,10,0,0
SocialHeavy,22,Senin,70,100,20,15,78,88,50.00,10,0,0
SocialHeavy,23,Selasa,70,100,20,15,81,91,50.50,10,0,0
SocialHeavy,24,Rabu,70,100,20,15,84,94,51.00,10,0,0
SocialHeavy,25,Kamis,70,100,20,15,87,97,51.50,10,0,0
SocialHeavy,26,Jumat,70,100,20,15,90,100,52.00,10,0,0
SocialHeavy,27,Sabtu,65,100,20,15,90,100,55.50,10,0,0
SocialHeavy,28,Minggu,60,100,20,15,90,100,59.50,10,0,0
SocialHeavy,29,Senin,60,100,20,15,93,100,60.00,10,0,0
SocialHeavy,30,Selasa,60,100,20,15,96,100,59.50,10,0,0
SocialHeavy,31,Rabu,60,100,20,15,99,100,60.00,10,0,0
SocialHeavy,32,Kamis,60,100,20,15,100,100,59.50,10,0,0
SocialHeavy,33,Jumat,60,100,20,15,100,100,60.00,10,0,0
SocialHeavy,34,Sabtu,55,100,20,15,100,100,61.50,10,0,0
SocialHeavy,35,Minggu,50,100,20,15,100,100,65.00,10,0,0
SocialHeavy,36,Senin,50,100,20,15,100,100,64.50,10,0,0
SocialHeavy,37,Selasa,50,100,20,15,100,100,65.00,10,0,0
SocialHeavy,38,Rabu,50,100,20,15,100,100,64.50,10,0,0
SocialHeavy,39,Kamis,50,100,20,15,100,100,65.00,10,0,0
SocialHeavy,40,Jumat,50,100,20,15,100,100,64.50,10,0,0
SocialHeavy,41,Sabtu,45,100,20,15,100,100,65.50,10,0,0
SocialHeavy,42,Minggu,40,100,20,15,100,100,67.00,10,0,0
SocialHeavy,43,Senin,40,100,20,15,100,100,67.50,10,0,0
SocialHeavy,44,Selasa,40,100,20,15,100,100,67.00,10,0,0
SocialHeavy,45,Rabu,40,100,20,15,100,100,66.50,10,0,0
SocialHeavy,46,Kamis,40,100,20,15,100,100,66.00,10,0,0
SocialHeavy,47,Jumat,40,100,20,15,100,100,65.50,10,0,0
SocialHeavy,48,Sabtu,35,100,20,15,100,100,67.00,10,0,0
SocialHeavy,49,Minggu,30,100,20,15,100,100,69.00,10,0,0
SocialHeavy,50,Senin,30,100,20,15,100,100,68.50,10,0,0
SocialHeavy,51,Selasa,30,100,20,15,100,100,68.00,10,0,0
SocialHeavy,52,Rabu,30,100,20,15,100,100,67.50,10,0,0
SocialHeavy,53,Kamis,30,100,20,15,100,100,67.00,10,0,0
SocialHeavy,54,Jumat,30,100,20,15,100,100,66.50,10,0,0
SocialHeavy,55,Sabtu,25,100,20,15,100,100,67.50,10,0,0
SocialHeavy,56,Minggu,20,100,20,15,100,100,69.00,10,0,0
SocialHeavy,57,Senin,20,100,20,15,100,100,69.50,10,0,0
SocialHeavy,58,Selasa,20,100,20,15,100,100,69.00,10,0,0
SocialHeavy,59,Rabu,20,100,20,15,100,100,68.50,10,0,0
SocialHeavy,60,Kamis,20,100,20,15,100,100,68.00,10,0,0
