Archetype,Day,DayName,PH,MH,Language,Etiquette,Theory,Practice,AvgGuanxi,MaxLoneliness,RumorLevel,IsBurnedOut
RestHeavy,1,Senin,100,100,20,15,33,43,18.00,10,0,0
RestHeavy,2,Selasa,100,100,20,15,36,46,16.00,20,0,0
RestHeavy,3,Rabu,100,100,20,15,39,49,14.00,30,0,0
RestHeavy,4,Kamis,100,100,20,15,42,52,12.00,40,0,0
RestHeavy,5,Jumat,100,100,20,15,45,55,10.00,50,0,0
RestHeavy,6,Sabtu,100,100,20,15,45,55,8.00,60,0,0
RestHeavy,7,Minggu,100,100,20,15,45,55,6.00,70,0,0
RestHeavy,8,Senin,100,100,20,15,48,58,4.00,80,1,0
RestHeavy,9,Selasa,100,100,20,15,51,61,2.00,90,2,0
RestHeavy,10,Rabu,100,100,20,15,54,64,0.00,100,3,0
RestHeavy,11,Kamis,100,100,20,15,57,67,0.00,100,4,0
RestHeavy,12,Jumat,100,100,20,15,60,70,0.00,100,5,0
RestHeavy,13,Sabtu,100,100,20,15,60,70,0.00,100,5,0
RestHeavy,14,Minggu,100,100,20,15,60,70,0.00,100,5,0
RestHeavy,15,Senin,100,100,20,15,63,73,0.00,100,5,0
RestHeavy,16,Selasa,100,100,20,15,66,76,0.00,100,5,0
RestHeavy,17,Rabu,100,100,20,15,69,79,0.00,100,5,0
RestHeavy,18,Kamis,100,100,20,15,72,82,0.00,100,5,0
RestHeavy,19,Jumat,100,100,20,15,75,85,0.00,100,5,0
RestHeavy,20,Sabtu,100,100,20,15,75,85,0.00,100,5,0
RestHeavy,21,Minggu,100,100,20,15,75,85,0.00,100,5,0
RestHeavy,22,Senin,100,100,20,15,78,88,0.00,100,5,0
RestHeavy,23,Selasa,100,100,20,15,81,91,0.00,100,5,0
RestHeavy,24,Rabu,100,100,20,15,84,94,0.00,100,5,0
RestHeavy,25,Kamis,100,100,20,15,87,97,0.00,100,5,0
RestHeavy,26,Jumat,100,100,20,15,90,100,0.00,100,5,0
RestHeavy,27,Sabtu,100,100,20,15,90,100,0.00,100,5,0
RestHeavy,28,Minggu,100,100,20,15,90,100,0.00,100,5,0
RestHeavy,29,Senin,100,100,20,15,93,100,0.00,100,5,0
RestHeavy,30,Selasa,100,100,20,15,96,100,0.00,100,5,0
RestHeavy,31,Rabu,100,100,20,15,99,100,0.00,100,5,0
RestHeavy,32,Kamis,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,33,Jumat,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,34,Sabtu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,35,Minggu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,36,Senin,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,37,Selasa,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,38,Rabu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,39,Kamis,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,40,Jumat,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,41,Sabtu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,42,Minggu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,43,Senin,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,44,Selasa,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,45,Rabu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,46,Kamis,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,47,Jumat,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,48,Sabtu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,49,Minggu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,50,Senin,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,51,Selasa,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,52,Rabu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,53,Kamis,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,54,Jumat,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,55,Sabtu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,56,Minggu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,57,Senin,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,58,Selasa,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,59,Rabu,100,100,20,15,100,100,0.00,100,5,0
RestHeavy,60,Kamis,100,100,20,15,100,100,0.00,100,5,0
