Archetype,Day,DayName,PH,MH,Language,Etiquette,Theory,Practice,AvgGuanxi,MaxLoneliness,RumorLevel,IsBurnedOut
StudyHeavy,1,Senin,80,60,28,15,33,51,18.00,10,0,0
StudyHeavy,2,Selasa,60,40,36,15,36,62,16.00,20,0,0
StudyHeavy,3,Rabu,40,20,44,15,39,73,14.00,30,0,0
StudyHeavy,4,Kamis,20,10,52,15,42,84,12.00,40,0,0
StudyHeavy,5,Jumat,8,5,56,15,45,95,10.00,50,0,1
StudyHeavy,6,Sabtu,8,5,60,15,49,99,8.00,60,0,1
StudyHeavy,7,Minggu,8,5,64,15,53,100,6.00,70,0,1
StudyHeavy,8,Senin,8,5,68,15,55,100,4.00,80,1,1
StudyHeavy,9,Selasa,8,5,72,15,57,100,2.00,90,2,1
StudyHeavy,10,Rabu,8,5,76,15,59,100,0.00,100,3,1
StudyHeavy,11,Kamis,8,5,80,15,61,100,0.00,100,4,1
StudyHeavy,12,Jumat,8,5,84,15,63,100,0.00,100,5,1
StudyHeavy,13,Sabtu,8,5,88,15,67,100,0.00,100,5,1
StudyHeavy,14,Minggu,8,5,92,15,71,100,0.00,100,5,1
StudyHeavy,15,Senin,8,5,96,15,73,100,0.00,100,5,1
StudyHeavy,16,Selasa,8,5,100,15,75,100,0.00,100,5,1
StudyHeavy,17,Rabu,8,5,100,15,77,100,0.00,100,5,1
StudyHeavy,18,Kamis,8,5,100,15,79,100,0.00,100,5,1
StudyHeavy,19,Jumat,8,5,100,15,81,100,0.00,100,5,1
StudyHeavy,20,Sabtu,8,5,100,15,85,100,0.00,100,5,1
StudyHeavy,21,Minggu,8,5,100,15,89,100,0.00,100,5,1
StudyHeavy,22,Senin,8,5,100,15,91,100,0.00,100,5,1
StudyHeavy,23,Selasa,8,5,100,15,93,100,0.00,100,5,1
StudyHeavy,24,Rabu,8,5,100,15,95,100,0.00,100,5,1
StudyHeavy,25,Kamis,8,5,100,15,97,100,0.00,100,5,1
StudyHeavy,26,Jumat,8,5,100,15,99,100,0.00,100,5,1
StudyHeavy,27,Sabtu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,28,Minggu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,29,Senin,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,30,Selasa,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,31,Rabu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,32,Kamis,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,33,Jumat,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,34,Sabtu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,35,Minggu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,36,Senin,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,37,Selasa,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,38,Rabu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,39,Kamis,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,40,Jumat,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,41,Sabtu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,42,Minggu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,43,Senin,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,44,Selasa,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,45,Rabu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,46,Kamis,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,47,Jumat,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,48,Sabtu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,49,Minggu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,50,Senin,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,51,Selasa,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,52,Rabu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,53,Kamis,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,54,Jumat,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,55,Sabtu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,56,Minggu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,57,Senin,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,58,Selasa,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,59,Rabu,8,5,100,15,100,100,0.00,100,5,1
StudyHeavy,60,Kamis,8,5,100,15,100,100,0.00,100,5,1
