No,Parameter,Kasus Uji (BVA),Nilai Input,Nilai Batas,Ekspektasi,Hasil Aktual,Status,Waktu Eksekusi
1,"Language","Bawah Batas (N-1)","39",">= 40",False,False,PASS,2026-09-14 13:12:36.230
2,"Language","Titik Batas (N)","40",">= 40",True,True,PASS,2026-09-14 13:12:36.230
3,"Language","Atas Batas (N+1)","41",">= 40",True,True,PASS,2026-09-14 13:12:36.230
4,"Etiquette","Bawah Batas (N-1)","29",">= 30",False,False,PASS,2026-09-14 13:12:36.231
5,"Etiquette","Titik Batas (N)","30",">= 30",True,True,PASS,2026-09-14 13:12:36.231
6,"Etiquette","Atas Batas (N+1)","31",">= 30",True,True,PASS,2026-09-14 13:12:36.231
7,"Physical Health","Bawah Batas (N-1)","29",">= 30",False,False,PASS,2026-09-14 13:12:36.231
8,"Physical Health","Titik Batas (N)","30",">= 30",True,True,PASS,2026-09-14 13:12:36.231
9,"Physical Health","Atas Batas (N+1)","31",">= 30",True,True,PASS,2026-09-14 13:12:36.231
10,"Mental Health (Min)","Bawah Batas (Min-1)","19",">= 20",False,False,PASS,2026-09-14 13:12:36.231
11,"Mental Health (Min)","Titik Batas (Min)","20",">= 20",True,True,PASS,2026-09-14 13:12:36.231
12,"Mental Health (Min)","Atas Batas (Min+1)","21",">= 20",True,True,PASS,2026-09-14 13:12:36.231
13,"Mental Health (Max)","Bawah Batas (Max-1)","79","<= 80",True,True,PASS,2026-09-14 13:12:36.231
14,"Mental Health (Max)","Titik Batas (Max)","80","<= 80",True,True,PASS,2026-09-14 13:12:36.231
15,"Mental Health (Max)","Atas Batas (Max+1)","81","<= 80",False,False,PASS,2026-09-14 13:12:36.231
16,"Academic Theory","Bawah Batas (N-1)","49",">= 50",False,False,PASS,2026-09-14 13:12:36.231
17,"Academic Theory","Titik Batas (N)","50",">= 50",True,True,PASS,2026-09-14 13:12:36.231
18,"Academic Theory","Atas Batas (N+1)","51",">= 50",True,True,PASS,2026-09-14 13:12:36.231
19,"Academic Practice","Bawah Batas (N-1)","49",">= 50",False,False,PASS,2026-09-14 13:12:36.231
20,"Academic Practice","Titik Batas (N)","50",">= 50",True,True,PASS,2026-09-14 13:12:36.231
21,"Academic Practice","Atas Batas (N+1)","51",">= 50",True,True,PASS,2026-09-14 13:12:36.231
22,"Guanxi NPC (Haoran)","Bawah Batas (N-1)","59",">= 60",False,False,PASS,2026-09-14 13:12:36.231
23,"Guanxi NPC (Haoran)","Titik Batas (N)","60",">= 60",True,True,PASS,2026-09-14 13:12:36.231
24,"Guanxi NPC (Haoran)","Atas Batas (N+1)","61",">= 60",True,True,PASS,2026-09-14 13:12:36.231
25,"Affection State","Bawah Batas (N-1)","State 1 (Neutral)",">= State 2",False,False,PASS,2026-09-14 13:12:36.232
26,"Affection State","Titik Batas (N)","State 2 (Friend)",">= State 2",True,True,PASS,2026-09-14 13:12:36.232
27,"Affection State","Atas Batas (N+1)","State 3 (Tokimeki)",">= State 2",True,True,PASS,2026-09-14 13:12:36.232
28,"Global Rumor","Bawah Batas (N-1)","Level 0 (Aman)",">= Level 1",False,False,PASS,2026-09-14 13:12:36.232
29,"Global Rumor","Titik Batas (N)","Level 1 (Bisik)",">= Level 1",True,True,PASS,2026-09-14 13:12:36.232
30,"Global Rumor","Atas Batas (N+1)","Level 2 (Menyebar)",">= Level 1",True,True,PASS,2026-09-14 13:12:36.232
31,"Day Range (Min)","Bawah Batas (Min-1)","Hari 09",">= Hari 10",False,False,PASS,2026-09-14 13:12:36.232
32,"Day Range (Min)","Titik Batas (Min)","Hari 10",">= Hari 10",True,True,PASS,2026-09-14 13:12:36.232
33,"Day Range (Min)","Atas Batas (Min+1)","Hari 11",">= Hari 10",True,True,PASS,2026-09-14 13:12:36.232
34,"Day Range (Max)","Bawah Batas (Max-1)","Hari 19","<= Hari 20",True,True,PASS,2026-09-14 13:12:36.232
35,"Day Range (Max)","Titik Batas (Max)","Hari 20","<= Hari 20",True,True,PASS,2026-09-14 13:12:36.232
36,"Day Range (Max)","Atas Batas (Max+1)","Hari 21","<= Hari 20",False,False,PASS,2026-09-14 13:12:36.232
37,"Time Block","Mismatch (Pagi)","Pagi","Siang",False,False,PASS,2026-09-14 13:12:36.232
38,"Time Block","Match (Siang)","Siang","Siang",True,True,PASS,2026-09-14 13:12:36.232
39,"Time Block","Mismatch (Malam)","Malam","Siang",False,False,PASS,2026-09-14 13:12:36.232
40,"Day Type","Mismatch (Weekend)","Weekend","Workday",False,False,PASS,2026-09-14 13:12:36.232
41,"Day Type","Match (Workday)","Workday","Workday",True,True,PASS,2026-09-14 13:12:36.232
42,"Story Flag","Flag Tidak Terpasang","NULL (0)",">= 1",False,False,PASS,2026-09-14 13:12:36.236
43,"Story Flag","Flag Terpasang (N)","Val 1",">= 1",True,True,PASS,2026-09-14 13:12:36.236
44,"Story Flag","Flag Terpasang (N+1)","Val 2",">= 1",True,True,PASS,2026-09-14 13:12:36.236
